,account,is_momentum,is_reverse,is_institution,age,open_time
190,499055733323,1,0,0,42.0,2536.0
191,499055742719,0,1,0,50.0,1544.0
192,499055742722,1,0,0,46.0,1532.0
193,499055742817,0,0,0,28.0,920.0
194,499055742819,0,0,0,43.0,920.0
195,499055742820,0,0,0,29.0,920.0
196,499055742823,0,0,0,22.0,898.0
197,499055742917,0,0,0,38.0,1514.0
198,499055742920,0,0,0,53.0,1503.0
199,499055742923,0,0,0,48.0,1474.0
200,499055743017,0,0,0,42.0,1446.0
201,499055743020,0,0,0,35.0,1438.0
202,499055743023,0,0,0,25.0,1406.0
203,499055743114,1,0,0,33.0,1405.0
204,499055743115,0,1,0,38.0,1399.0
205,499055752616,0,1,0,43.0,1902.0
206,499055752623,0,1,0,53.0,1896.0
207,499055752719,0,1,0,50.0,1880.0
208,499055752814,0,1,0,52.0,1864.0
209,499055752819,1,0,0,44.0,1843.0
210,499055753020,0,0,0,40.0,1833.0
211,499055753021,0,1,0,62.0,1829.0
212,499055753119,0,0,0,50.0,1797.0
213,499055753120,0,0,0,38.0,1847.0
214,499055753223,0,0,0,36.0,1381.0
215,499055753314,0,0,0,32.0,1375.0
216,499055753315,0,1,0,46.0,1370.0
217,499055753319,0,0,1,,
218,499055753320,0,0,0,42.0,1349.0
219,499055753323,1,0,0,55.0,1378.0
220,499055753414,0,0,0,37.0,1332.0
221,499055753415,0,0,0,52.0,1328.0
222,499055753416,0,0,0,66.0,1327.0
223,499055753417,0,0,0,44.0,1326.0
224,499055753419,1,0,0,47.0,1322.0
225,499055753421,0,0,0,31.0,1321.0
226,499055762514,0,0,0,49.0,1308.0
227,499055762515,0,0,0,38.0,1293.0
228,499055762516,0,0,0,50.0,1283.0
229,499055762519,0,0,0,34.0,1277.0
230,499055762520,1,0,0,52.0,1270.0
231,499055762616,0,1,0,48.0,1230.0
232,499055762619,0,0,0,25.0,1227.0
233,499055762622,0,0,0,45.0,1146.0
234,499055762623,0,0,0,45.0,1145.0
235,499055762714,0,0,0,32.0,997.0
236,499055762719,1,0,0,22.0,1056.0
237,499055762720,1,0,0,52.0,1056.0
238,499055762721,0,0,0,45.0,1035.0
239,499055762722,0,0,0,40.0,1035.0
240,499055762815,1,0,0,31.0,926.0
241,499055762817,0,0,0,37.0,886.0
242,499055762820,0,0,0,43.0,879.0
243,499055762821,1,0,0,25.0,872.0
244,499055762823,0,0,0,36.0,859.0
245,499055763015,0,0,0,40.0,853.0
246,499056682514,0,0,0,36.0,853.0
247,499056682517,0,0,0,58.0,836.0
248,499056682616,0,0,0,48.0,814.0
249,499056682623,1,0,0,27.0,811.0
250,499056682717,0,1,0,44.0,807.0
251,499056682719,1,0,0,46.0,796.0
252,499056682723,1,0,0,48.0,789.0
253,499056682816,0,1,1,,
254,499056682819,1,0,1,,
255,499056682821,0,0,1,,
256,499056683020,0,0,0,29.0,737.0
257,499056683119,0,0,0,41.0,684.0
258,499056683120,0,0,0,45.0,668.0
259,499056683215,0,0,0,47.0,661.0
260,499056683219,0,0,0,60.0,661.0
261,499056683314,0,0,0,47.0,646.0
262,499056683315,0,1,1,,
263,499056683316,0,0,0,33.0,633.0
264,499056683317,0,1,0,30.0,626.0
265,499056683319,0,0,0,32.0,620.0
266,499056683320,0,0,0,24.0,613.0
267,499056683322,1,0,0,44.0,608.0
268,499056683415,0,1,0,45.0,599.0
269,499056683419,0,1,0,36.0,580.0
270,499056683421,0,0,0,29.0,572.0
271,499056683423,0,0,0,44.0,564.0
272,499056692514,0,0,0,31.0,563.0
273,499056692519,0,0,0,59.0,542.0
274,499056692616,1,0,0,33.0,489.0
275,499056692622,0,0,0,41.0,443.0
276,499056692623,0,0,0,51.0,438.0
277,499056692716,0,0,0,47.0,423.0
278,499056692717,0,0,0,31.0,411.0
279,499056692722,0,0,0,43.0,396.0
280,499056692723,0,0,0,41.0,384.0
281,499056692816,1,0,0,28.0,360.0
282,499056692820,0,0,1,,
283,499056693015,0,1,0,28.0,255.0
284,499056693017,1,0,1,,
285,499056693116,0,0,0,29.0,198.0
286,499056693122,0,0,0,40.0,166.0
287,499056693219,1,0,1,,
288,499056693223,0,0,1,,
289,499056693414,0,0,1,,
290,499057682514,0,0,0,42.0,537.0
291,499057682517,0,0,0,37.0,443.0
292,499057682522,0,0,0,50.0,438.0
293,499057682615,1,0,0,54.0,422.0
294,499057682617,0,0,0,38.0,415.0
295,499057682620,0,0,0,50.0,384.0
296,499057682714,0,0,0,35.0,376.0
297,499057682715,0,0,0,35.0,373.0
298,499057682716,0,0,0,40.0,361.0
299,499057682717,0,0,0,43.0,361.0
300,499057682720,0,0,0,36.0,359.0
301,499057682721,0,0,0,62.0,359.0
302,499057682723,0,0,0,35.0,349.0
303,499057682814,0,0,0,33.0,331.0
304,499057682820,1,0,0,26.0,318.0
305,499057682822,0,0,0,49.0,310.0
306,499057683014,0,0,0,39.0,300.0
307,499057683015,0,0,0,26.0,300.0
308,499057683020,0,0,0,41.0,298.0
309,499057683021,0,0,0,32.0,297.0
310,499057683114,0,0,0,45.0,293.0
311,499057683120,0,0,0,55.0,289.0
312,499057683122,0,0,0,46.0,283.0
313,499057683214,1,0,0,45.0,279.0
314,499057683215,0,0,0,42.0,278.0
315,499057683216,0,0,0,36.0,275.0
316,499057683217,0,1,0,28.0,271.0
317,499057683219,0,0,0,49.0,271.0
318,499057683223,0,0,0,35.0,265.0
319,499057683316,0,0,0,30.0,262.0
320,499057683319,1,0,0,46.0,254.0
321,499057683321,0,0,0,28.0,249.0
322,499057683420,0,0,0,39.0,237.0
323,499057683422,0,0,0,26.0,223.0
324,499057683423,0,0,0,24.0,221.0
325,499057692521,1,0,0,45.0,200.0
326,499057692522,0,0,0,47.0,199.0
327,499057692615,0,0,0,19.0,194.0
328,499057692617,0,0,0,40.0,184.0
329,499057692619,0,0,0,39.0,181.0
330,499057692621,1,0,0,48.0,181.0
331,499057692622,0,0,0,39.0,180.0
332,499057692716,1,0,0,47.0,167.0
333,499057692717,0,0,0,47.0,165.0
334,499057692719,0,0,0,47.0,164.0
335,499057692720,0,0,0,44.0,164.0
336,499057692721,0,0,0,45.0,160.0
337,499057692815,0,0,0,29.0,156.0
338,499057692816,0,0,0,48.0,152.0
339,499057692820,0,0,0,43.0,149.0
340,499057692821,0,0,0,31.0,149.0
341,499057692822,0,0,0,23.0,145.0
342,499057693014,0,1,0,30.0,136.0
343,499057693015,0,1,0,49.0,136.0
344,499057693016,1,0,0,35.0,131.0
345,499057693023,0,0,0,47.0,114.0
346,499057693116,0,0,0,40.0,95.0
347,499057693119,1,0,0,36.0,83.0
348,499057693120,0,0,0,45.0,82.0
349,499057693216,0,0,0,28.0,75.0
350,499057693219,0,0,0,41.0,74.0
351,499057693222,1,0,0,45.0,67.0
352,499057693316,0,0,0,25.0,53.0
353,499059733120,0,0,0,49.0,3351.0
354,499062763322,0,0,0,49.0,3793.0
355,499155682515,0,0,0,33.0,1452.0
356,499155682519,0,0,0,29.0,1382.0
357,499155682621,0,0,0,35.0,1220.0
358,499155682623,0,0,0,40.0,1178.0
359,499155682714,0,0,0,33.0,1175.0
360,499155682716,0,1,0,33.0,1175.0
361,499155682720,0,0,0,59.0,1173.0
362,499155682721,0,0,0,55.0,1164.0
363,499155682722,0,0,0,34.0,1171.0
364,499155682723,0,0,0,24.0,1145.0
365,499155682815,0,0,0,51.0,1136.0
366,499155682820,0,0,0,48.0,986.0
367,499155682821,0,0,0,27.0,962.0
368,499155682823,0,0,0,34.0,958.0
369,499155683015,1,0,0,33.0,948.0
370,499155683016,0,0,0,41.0,916.0
371,499155683019,1,0,0,23.0,901.0
372,499155683020,0,0,0,25.0,901.0
373,499155683021,1,0,0,40.0,881.0
374,499155683023,0,0,0,34.0,858.0
375,499155683114,0,0,0,32.0,832.0
376,499155683116,0,1,0,26.0,830.0
377,499155683117,1,0,0,34.0,814.0
378,499155683119,0,0,0,34.0,814.0
379,499155683214,0,0,0,42.0,780.0
380,499155683216,0,0,0,32.0,741.0
381,499155683217,1,0,0,37.0,741.0
382,499155683220,1,0,0,32.0,643.0
383,499155683221,0,0,0,42.0,639.0
384,499155683317,0,0,0,44.0,593.0
385,499155683320,0,0,0,23.0,572.0
386,499155683321,0,0,0,38.0,564.0
387,499155693122,0,0,0,54.0,1340.0
388,499156682516,0,0,0,43.0,1451.0
389,499156682519,0,1,0,45.0,1412.0
390,499156682521,0,0,0,52.0,1356.0
391,499156682522,0,0,0,44.0,1425.0
392,499156682523,0,0,0,48.0,1391.0
393,499156682622,0,0,0,53.0,1381.0
394,499156682623,0,0,0,30.0,1221.0
395,499156682716,0,0,0,52.0,1347.0
396,499156682717,0,0,0,28.0,1347.0
397,499156682719,0,0,0,29.0,1346.0
398,499156682720,0,0,0,48.0,1339.0
399,499156682721,0,0,0,38.0,1339.0
400,499156682723,1,0,0,56.0,1320.0
401,499156682819,0,0,0,52.0,1290.0
402,499156682823,1,0,0,44.0,1279.0
403,499156683014,1,0,0,64.0,1279.0
404,499156683019,0,0,0,33.0,1265.0
405,499156683020,0,0,0,26.0,1265.0
406,499156683021,0,0,0,46.0,1257.0
407,499156683114,1,0,0,52.0,1231.0
408,499156683116,0,0,0,45.0,1221.0
409,499156683117,0,0,0,45.0,1217.0
410,499156683122,0,0,0,40.0,1178.0
411,499156683123,0,0,0,43.0,1195.0
412,499156683214,0,0,0,32.0,1195.0
413,499156683215,0,0,0,37.0,1196.0
414,499156683219,0,0,0,36.0,1150.0
415,499156683220,1,0,0,49.0,1150.0
416,499156683314,0,0,0,49.0,1132.0
417,499156683317,0,0,0,58.0,1116.0
418,499156683320,0,0,0,30.0,1080.0
419,499156683321,1,0,0,31.0,1094.0
420,499156683322,0,0,0,24.0,1376.0
421,499156683421,0,0,0,31.0,1054.0
422,499156692515,1,0,0,45.0,1019.0
423,499156692516,0,0,0,32.0,1019.0
424,499156692517,0,0,0,30.0,1017.0
425,499156692519,0,0,0,28.0,1005.0
426,499156692522,0,0,0,45.0,986.0
427,499156692523,0,1,0,23.0,984.0
428,499156692616,1,0,0,35.0,958.0
429,499156692621,0,0,0,40.0,919.0
430,499156692622,0,0,0,63.0,936.0
431,499156692623,0,0,0,28.0,915.0
432,499156692714,0,0,0,40.0,881.0
433,499156692715,0,0,0,40.0,881.0
434,499156692720,0,0,0,54.0,851.0
435,499156692723,0,1,0,41.0,831.0
436,499156692814,0,0,0,31.0,831.0
437,499156692816,0,0,0,64.0,941.0
438,499156692817,0,0,0,31.0,871.0
439,499156692819,0,1,0,27.0,811.0
440,499156692823,0,1,0,47.0,816.0
441,499156692914,1,0,0,28.0,789.0
442,499156692916,1,0,0,26.0,780.0
443,499156692922,0,1,0,34.0,866.0
444,499156693014,1,0,0,40.0,762.0
445,499156693015,0,1,0,35.0,755.0
446,499156693016,0,0,0,47.0,733.0
447,499156693019,0,0,0,34.0,709.0
448,499156693022,0,0,0,44.0,688.0
449,499156693023,0,1,0,38.0,685.0
450,499156693114,0,0,0,21.0,692.0
451,499156693115,0,1,1,,
452,499156693116,0,0,0,28.0,684.0
453,499156693119,0,0,0,24.0,671.0
454,499156693120,0,0,0,52.0,661.0
455,499156693123,0,0,0,34.0,628.0
456,499156693214,0,0,0,25.0,621.0
457,499156693217,0,0,0,35.0,607.0
458,499156693219,0,0,0,31.0,600.0
459,499156693221,0,1,0,37.0,487.0
460,499156693314,0,0,0,30.0,564.0
461,499156693321,0,0,0,28.0,492.0
462,499156693323,0,0,0,35.0,542.0
463,499156693414,0,0,0,31.0,542.0
464,499156693415,0,0,0,41.0,541.0
465,499156693420,0,0,0,33.0,606.0
466,499157682619,0,0,0,35.0,1340.0
467,499157682620,0,0,0,40.0,1340.0
